date,stock,value,change
2007-01-03,MSFT,23.950705,-0.167452273325558
2007-01-03,IBM,80.517962,1.06918876063952
2007-01-03,SBUX,16.149666,0.11347603102133401
2007-01-03,AAPL,11.086611999999999,2.21956897201778
2007-01-03,GSPC,1416.599976,0.12282860577995901
2007-01-04,MSFT,23.910598999999998,-0.570278477757919
2007-01-04,IBM,81.378851,-0.9052990930039059
2007-01-04,SBUX,16.167992,-0.42505587583171794
2007-01-04,AAPL,11.332687,-0.7121259062391802
2007-01-04,GSPC,1418.339966,-0.6084581416921011
2007-01-05,MSFT,23.774242,0.9784118458960649
2007-01-05,IBM,80.642129,1.5191997225172498
2007-01-05,SBUX,16.099269,-0.3699484740580471
2007-01-05,AAPL,11.251984,0.49383290982284295
2007-01-05,GSPC,1409.709961,0.222031842477701
2007-01-08,MSFT,24.006852,0.10022971774891899
2007-01-08,IBM,81.867244,1.1830103869137198
2007-01-08,SBUX,16.03971,-0.42844290825707004
2007-01-08,AAPL,11.30755,8.30701610870612
2007-01-08,GSPC,1412.839966,-0.0516676352288262
2007-01-09,MSFT,24.030914000000003,-1.00133519682189
2007-01-09,IBM,82.83574200000001,-1.17917456452554
2007-01-09,SBUX,15.970989000000001,-0.31555340749405203
2007-01-09,AAPL,12.24687,4.78555745263892
2007-01-09,GSPC,1412.109985,0.194035240109142
2007-01-10,MSFT,23.790284,3.50641043209069
2007-01-10,IBM,81.858964,-0.242691808315587
2007-01-10,SBUX,15.920592000000001,3.05036395631519
2007-01-10,AAPL,12.832951,-1.23710438853853
2007-01-10,GSPC,1414.849976,0.6339873592364611
2007-01-11,MSFT,24.624469,1.6612297304766201
2007-01-11,IBM,81.660299,0.699437801470698
2007-01-11,SBUX,16.406228,0.25133138464248395
2007-01-11,AAPL,12.674194,-1.23173118543081
2007-01-11,GSPC,1423.819946,0.48531656122760897
2007-01-12,MSFT,25.033538,-0.160201087037715
2007-01-12,IBM,82.231462,1.48983609217602
2007-01-12,SBUX,16.447461999999998,0.8913594085215
2007-01-12,AAPL,12.518082000000001,2.6210005654220803
2007-01-12,GSPC,1430.72998,0.0817795123018224
2007-01-16,MSFT,24.993434,-0.19255057148208998
2007-01-16,IBM,83.456576,-0.793496488521159
2007-01-16,SBUX,16.594068,0.19326183308397302
2007-01-16,AAPL,12.846181,-2.21421448133107
2007-01-16,GSPC,1431.900024,-0.0893937410814663
2007-01-17,MSFT,24.945308999999998,-0.321547430019817
2007-01-17,IBM,82.794351,-0.5698854985891529
2007-01-17,SBUX,16.626138,-1.43290041259131
2007-01-17,AAPL,12.561739,-6.19272538619055
2007-01-17,GSPC,1430.619995,-0.297073996928164
2007-01-18,MSFT,24.865098,0.354842759919955
2007-01-18,IBM,82.322518,-3.2981389126119898
2007-01-18,SBUX,16.387902,-0.6429926173588311
2007-01-18,AAPL,11.783825,-0.639945009366651
2007-01-18,GSPC,1426.369995,0.28954654223499604
2007-01-19,MSFT,24.953329999999998,-1.2536202582982
2007-01-19,IBM,79.607407,0.97743794117048
2007-01-19,SBUX,16.282529,-0.7034349516589129
2007-01-19,AAPL,11.708414999999999,-1.93220858673014
2007-01-19,GSPC,1430.5,-0.527790912268434
2007-01-22,MSFT,24.64051,0.0651041719509959
2007-01-22,IBM,80.38552,-0.0308911356174638
2007-01-22,SBUX,16.167992,-0.963446790423946
2007-01-22,AAPL,11.482184,-1.2559021872493898
2007-01-22,GSPC,1422.949951,0.35419650539767794
2007-01-23,MSFT,24.656551999999998,1.13858174492524
2007-01-23,IBM,80.360688,0.32962510226394603
2007-01-23,SBUX,16.012222,-0.45779405256810096
2007-01-23,AAPL,11.337978999999999,1.1668658056255
2007-01-23,GSPC,1427.98999,0.8501470658068091
2007-01-24,MSFT,24.937286999999998,-2.05853587842175
2007-01-24,IBM,80.625577,0.11293686617584697
2007-01-24,SBUX,15.938919,-2.3569979871282403
2007-01-24,AAPL,11.470278,-0.519037114880741
2007-01-24,GSPC,1440.130005,-1.1269802687015
2007-01-25,MSFT,24.423944,0.49261085760760603
2007-01-25,IBM,80.716633,-0.06153750243769901
2007-01-25,SBUX,15.563239000000001,-0.264944848562689
2007-01-25,AAPL,11.410743,-1.0086985571404101
2007-01-25,GSPC,1423.900024,-0.12079289072335199
2007-01-26,MSFT,24.544259,-0.228758179254869
2007-01-26,IBM,80.666962,1.1185260701896798
2007-01-26,SBUX,15.522004999999998,2.00708606909997
2007-01-26,AAPL,11.295643,0.655890063097784
2007-01-26,GSPC,1422.180054,-0.10969490083988401
2007-01-29,MSFT,24.488112,-0.163777428002622
2007-01-29,IBM,81.569243,0.842299100409692
2007-01-29,SBUX,15.833545,0.0
2007-01-29,AAPL,11.36973,-0.45380145350857
2007-01-29,GSPC,1420.619995,0.5772093190902929
2007-01-30,MSFT,24.448006,1.24672335240755
2007-01-30,IBM,82.2563,-0.22139580798065198
2007-01-30,SBUX,15.833545,1.09953266940535
2007-01-30,AAPL,11.318133999999999,0.210405708220099
2007-01-30,GSPC,1428.819946,0.659288388741457
2007-01-31,MSFT,24.752805,-0.972136289200343
2007-01-31,IBM,82.074188,-0.151287515631603
2007-01-31,SBUX,16.00764,-1.51688818589122
2007-01-31,AAPL,11.341948,-1.15479280984184
2007-01-31,GSPC,1438.23999,0.5353731681456071
2007-02-01,MSFT,24.512173999999998,-1.21072900347395
2007-02-01,IBM,81.95002,0.17171563838544399
2007-02-01,SBUX,15.764822,-0.406855212193326
2007-02-01,AAPL,11.210972,0.0118009392941067
2007-02-01,GSPC,1445.939941,0.16944507379092197
2007-02-02,MSFT,24.215398,-1.92116602832627
2007-02-02,IBM,82.09074100000001,1.22012664010429
2007-02-02,SBUX,15.700682,-0.7294969734435809
2007-02-02,AAPL,11.212295,-0.9557543749963671
2007-02-02,GSPC,1448.390015,-0.0966607740664323
2007-02-05,MSFT,23.75018,-0.33772375619890505
2007-02-05,IBM,83.092352,-0.527993238174313
2007-02-05,SBUX,15.586146,-1.02881751524719
2007-02-05,AAPL,11.105133,0.25018160520904603
2007-02-05,GSPC,1446.98999,0.0698007592989614
2007-02-06,MSFT,23.669970000000003,-0.47441547243194
2007-02-06,IBM,82.65363,-0.0100406963372426
2007-02-06,SBUX,15.425792999999999,0.0
2007-02-06,AAPL,11.132916,2.3767088514815
2007-02-06,GSPC,1448.0,0.139504143646404
2007-02-07,MSFT,23.557676,-0.37453185110449894
2007-02-07,IBM,82.645331,0.0803711464353629
2007-02-07,SBUX,15.425792999999999,-0.742496674239056
2007-02-07,AAPL,11.397513,0.0348321603142782
2007-02-07,GSPC,1450.02002,-0.117926716625611
2007-02-08,MSFT,23.469445,-0.9569421006760139
2007-02-08,IBM,82.711754,-1.07408071650856
2007-02-08,SBUX,15.311257000000001,-1.37641867026332
2007-02-08,AAPL,11.401483,-3.37665722959023
2007-02-08,GSPC,1448.310059,-0.7077213844028131
2007-02-09,MSFT,23.244856,-0.138021934831517
2007-02-09,IBM,81.823363,0.0304399612614296
2007-02-09,SBUX,15.10051,-0.879857700170394
2007-02-09,AAPL,11.016494,1.93346449423928
2007-02-09,GSPC,1438.060059,-0.32613825623258597
2007-02-12,MSFT,23.212773000000002,0.589459949485569
2007-02-12,IBM,81.84827,-0.29417848416344206
2007-02-12,SBUX,14.967647,-0.0306060130894318
2007-02-12,AAPL,11.229494,-0.212057640353168
2007-02-12,GSPC,1433.369995,0.75974905558142
2007-02-13,MSFT,23.349603,1.3443611867833603
2007-02-13,IBM,81.60749,0.925828009169254
2007-02-13,SBUX,14.963066,2.08205992007254
2007-02-13,AAPL,11.205681,0.7083817574317829
2007-02-13,GSPC,1444.26001,0.764407996036668
2007-02-14,MSFT,23.663505999999998,0.20407795869301898
2007-02-14,IBM,82.363035,-0.282256475857153
2007-02-14,SBUX,15.274606,-0.35992417742232397
2007-02-14,AAPL,11.285060000000001,-0.105511180268417
2007-02-14,GSPC,1455.300049,0.10375935883720698
2007-02-15,MSFT,23.711798,-2.44399011833689
2007-02-15,IBM,82.13056,0.0707629413460632
2007-02-15,SBUX,15.219629000000001,-0.632157327882299
2007-02-15,AAPL,11.273153,-0.44596218999245296
2007-02-15,GSPC,1456.810059,-0.08717814598779698
2007-02-16,MSFT,23.132284,0.313155415176471
2007-02-16,IBM,82.188678,0.363674179063941
2007-02-16,SBUX,15.123417000000002,-0.5755842082513449
2007-02-16,AAPL,11.222878999999999,1.2613430118956002
2007-02-16,GSPC,1455.540039,0.284431543555769
2007-02-20,MSFT,23.204724,1.80367583773029
2007-02-20,IBM,82.487577,-0.261703650235722
2007-02-20,SBUX,15.036369,-1.27969724605721
2007-02-20,AAPL,11.364438,3.8416769927382304
2007-02-20,GSPC,1459.680054,-0.140445092359942
